Date;TXMax
1833-05-17;28.2
1834-07-18;32.9
1835-08-11;29.8
1836-07-06;29.9
1837-08-19;29.8
1838-07-13;30.7
1839-06-18;32.4
1840-09-02;27.4
1841-09-11;28.5
1842-08-18;32.6
1843-07-04;32.6
1844-06-23;30.1
1845-07-05;32.5
1846-07-31;34.2
1847-07-16;31.9
1848-07-07;30.1
1849-07-08;32.6
1850-06-26;30.4
1851-07-01;29.3
1852-07-16;32.8
1853-07-08;30.6
1854-07-24;30.2
1855-06-06;28.1
1856-08-01;29.5
1857-08-04;34.3
1858-06-15;33.9
1859-07-13;30.9
1860-07-16;27.6
1861-08-12;29.5
1862-08-02;26.9
1863-08-15;29.6
1864-07-11;26.7
1865-07-15;31.5
1866-07-13;28.3
1867-08-14;29.5
1868-07-22;30.8
1869-07-22;29.3
1870-07-25;31.3
1871-08-13;28.6
1872-07-26;32.2
1873-07-23;30.7
1874-07-02;30
1875-08-17;30.4
1876-08-17;30.5
1877-06-09;29.1
1878-06-26;29.8
1879-08-03;32.4
1880-05-26;30.1
1881-07-19;35
1882-07-15;30.5
1883-06-30;31
1884-07-09;30.9
1885-08-10;30.4
1886-07-21;32.8
1887-07-04;32.6
1888-06-03;29.7
1889-06-07;29.5
1890-08-01;30.2
1891-06-25;28.4
1892-08-17;35.3
1893-08-18;34.5
1894-07-02;31.7
1895-08-22;30.6
1896-07-21;30.3
1897-08-05;30.2
1898-08-22;33.9
1899-08-05;32
1900-07-20;33.8
1901-07-13;32.8
1902-06-28;29.9
1903-09-02;30.6
1904-07-15;33.7
1905-07-27;30.2
1906-09-03;32.6
1907-05-12;29
1908-06-04;30.6
1909-08-16;30.1
1910-06-06;28.8
1911-08-09;36.1
1912-07-13;33
1913-06-17;30.2
1914-07-01;30.8
1915-06-08;34.3
1916-06-23;29.9
1917-06-16;31.5
1918-08-22;33.9
1919-06-12;32.7
1920-07-12;28.8
1921-07-28;36.5
1922-05-24;34.1
1923-07-11;34.8
1924-07-12;31.6
1925-07-22;34.4
1926-09-01;30.9
1927-07-05;31.6
1928-07-15;34.6
1929-08-31;35
1930-08-28;33.3
1931-06-14;31.1
1932-08-19;36.5
1933-07-27;34.4
1934-07-18;33.4
1935-08-23;32
1936-06-20;32.4
1937-06-10;32.7
1938-08-04;33.8
1939-06-07;33
1940-09-05;30.7
1941-07-09;35.3
1942-07-05;33.2
1943-07-31;33.7
1944-08-23;34.2
1945-07-15;35.1
1946-07-04;32.4
1947-06-27;38.8
1948-07-28;33.6
1949-07-13;34.9
1950-06-06;31.7
1951-07-31;30.2
1952-07-06;37.1
1953-08-12;32.6
1954-08-03;32
1955-07-17;31.9
1956-07-09;31.1
1957-07-06;36.2
1958-08-28;30.6
1959-07-09;36.8
1960-06-23;31.4
1961-07-02;32.9
1962-09-03;31
1963-07-22;30.6
1964-07-18;35.4
1965-08-05;28.4
1966-08-13;32.7
1967-07-13;33.6
1968-07-01;33.6
1969-07-23;30.4
1970-07-07;29.8
1971-07-09;29.4
1972-07-19;31
1973-07-05;31.1
1974-08-15;29.5
1975-08-05;34
1976-07-03;35.4
1977-06-13;31
1978-07-30;31.5
1979-07-28;28.5
1980-08-02;30
1981-08-06;30.4
1982-07-09;33
1983-07-11;32.1
1984-07-30;33
1985-06-04;29.8
1986-08-03;34.5
1987-08-21;30.5
1988-08-18;28.4
1989-07-22;34.1
1990-08-04;35.3
1991-07-11;32.8
1992-08-08;31.7
1993-06-09;29.8
1994-08-04;33.9
1995-07-21;34
1996-06-07;32.9
1997-08-25;31.9
1998-08-10;33.5
1999-08-02;30.7
2000-06-19;31.8
2001-08-26;32.9
2002-07-30;32.3
2003-08-06;34.4
2004-08-09;30.8
2005-06-23;32
2006-07-19;36.2
2007-08-05;30.9
2008-07-31;31
2009-08-20;33.4
2010-07-02;33.9
2011-06-28;34.2
2012-08-18;35.1
2013-08-02;34.1
2014-07-18;33.1
2015-07-01;35
2016-08-25;32.7
2017-06-22;32.9
2018-07-26;35.4
2019-07-25;39.7
2020-07-31;36.5
2021-06-18;29.5
